Vertex1,Vertex2,Color1,Color2
MH9A6,NYM29,red,green
MF28A,7I9N1,green,blue
QL9EH,I9LIN,blue,blue
BD5AS,8TQMV,blue,blue
8S0Y5,K64N9,blue,blue
QRVCZ,B66MU,red,blue
EK1O1,4Q9LK,blue,green
XIZ3Z,R0YP2,red,blue
NR93Z,OF1N6,green,red
OZUXL,93OKD,red,green
LBVHO,OXZY3,green,blue
ICEVN,0OW1H,green,blue
487C7,Q06GD,red,blue
IZWDJ,57OW5,green,green
LQXMH,307TC,blue,red
O2TIT,ZPO0S,blue,green
L9KTE,1JXO7,red,green
T9RTB,K64N9,green,blue
0MUJX,1X23I,blue,red
QRVCZ,V0VS2,red,green
668M7,SCPD1,green,green
2594I,LYPHQ,green,green
WM6RC,4N8QS,red,red
J1DJT,885V2,red,red
I3UOU,D6NP6,red,blue
IZWDJ,QBZ6M,red,red
T0JC3,U9MYY,blue,blue
WL8G1,6D5BN,blue,blue
QBZ6M,PTBST,green,green
A9D59,NX6IS,blue,blue
458OM,ZHKVE,red,blue
ZOR7F,R7310,red,green
024RU,0OW1H,red,red
8BPSN,Z4WZE,red,green
R1JH5,8B1MM,blue,green
VOSVE,7EESK,blue,red
UK769,1I6FP,green,green
MYFU1,KTZ8M,green,red
URHVH,HSOOO,blue,blue
E2NP9,2CZZ6,blue,blue
MJHHB,N6OSY,blue,red
BHXS4,69023,red,green
S7U4A,XX1OL,blue,green
1DGE4,TF7B3,blue,green
XHIY2,B45P3,green,green
X43SQ,T9ALU,blue,blue
0E346,1E8CL,red,blue
IP13G,YWQBI,blue,green
7YGZC,ZTPEJ,green,blue
29BMZ,D81WE,blue,blue
VQQJZ,LX8YS,blue,red
L95CH,Z8XKE,blue,red
RIC0E,V7ZQT,green,red
A9D59,MT023,blue,blue
YG72D,40LDN,green,blue
L0GUU,CUBF4,red,green
CZBX1,MWWIZ,blue,red
CS5BZ,VXSGC,blue,red
VO2EW,U26CB,blue,blue
EX4N8,E0I9F,green,green
MPJC9,B45P3,blue,red
B1Q6K,VIIYS,red,blue
3V26S,U5IQK,red,green
U26CB,TF7B3,green,green
1DGE4,Y95IF,red,blue
HUYSR,9GLJN,green,green
ZG1MT,Q06GD,blue,red
Z8XKE,N22QM,green,blue
Q50LR,XS4CF,green,green
EITEV,OEXHO,blue,red
4F8J5,JGR33,blue,red
2HDJA,487C7,blue,red
668M7,URHVH,blue,red
GW76F,FMJIU,blue,green
RERMN,0B8RB,green,blue
B2WDK,ZY7M8,green,green
129H8,CXGE8,green,green
VSLS8,ZLDES,blue,red
N22QM,BK99V,green,blue
0PQCE,KYYP4,blue,red
V7ZQT,DQF3Y,blue,green
ZTSQY,VOSVE,red,red
6SACK,4SO3V,red,green
OJ50M,AL938,green,blue
5KQEJ,UUQ5V,green,green
QCMCD,8S0Y5,blue,red
6F92J,Y7PN9,red,blue
79KC4,1U9HK,green,blue
4N8QS,5C1R9,blue,red
0OW1H,HFZ09,red,green
BX7HE,JOBTU,green,blue
FFRQC,G8HQG,green,blue
08KC5,TNB22,green,green
RTH2Y,BD5AS,green,red
9I7R1,O90GF,red,green
9WBUE,261PO,blue,red
I7JCV,8DEPA,blue,red
65H0H,G7SJA,blue,green
QCMCD,FF32X,green,blue
7ARL1,CYOSC,green,green
FJFGJ,UXOQ4,blue,red
ORM7Z,NA0OJ,blue,red
4VKA8,FJVAM,red,red
X4PN1,ZY7M8,blue,green
EX4N8,T7TKS,blue,green
K4E7D,XW119,red,green
RMS3X,PYI28,green,blue
21L0W,O4RP1,green,blue
FJIZE,OZUXL,red,red
TNNNC,A8ZK0,green,blue
9D9SF,BZT0S,red,blue
59T6W,WS2R3,green,blue
2CL3G,NL4QH,green,green
X7ISR,S99XZ,red,green
7YGZC,I7JS7,blue,green
Z4WZE,9RC2Y,green,blue
V0VS2,TNNNC,blue,red
IX66B,2TFGW,blue,green
B1Q6K,PW7P4,red,green
14BWK,PPQU2,green,blue
A9D59,WB3SK,green,blue
M9228,95DY7,blue,blue
HSOOO,E3VR0,blue,green
9YNW9,URWZ0,blue,green
Z9VY0,MDEBL,green,green
8ALZW,5MMY6,blue,green
RVIYT,TZXWR,red,red
NHSFA,ETZU0,red,blue
S5Q6V,2L970,green,green
TXXHK,YN466,red,red
BZT0S,QIPV9,red,green
MH391,4Q9LK,blue,red
ZLDES,ORM7Z,blue,blue
GW76F,AU606,green,red
8AUBU,JLMZR,green,red
1XDT0,E1GGP,blue,green
OY1UK,3BKOB,green,red
FJVAM,I7JS7,green,green
EFL8F,58MXZ,blue,blue
7YGZC,N22A0,blue,blue
D50SO,APVFH,blue,green
CHFTC,U8OEF,red,red
CI7JY,9JODI,green,red
DB1CK,QRT9A,green,green
B3CQ5,9VW4W,green,red
CM9IK,E3JEO,blue,green
NA0OJ,A8ZK0,red,green
WGRB5,QXFUA,red,green
2L970,024RU,red,green
W0DR2,AL938,red,green
8DU5O,WUGEM,red,green
MKTV8,UVFL8,red,red
U5IQK,QK1KY,blue,green
261PO,KQA4E,blue,blue
7L4N7,5BG87,blue,green
QCMCD,PCDJ2,red,red
W4MRN,1DGE4,blue,blue
6RC7E,QMZ0E,blue,blue
IIPOU,DK7CC,red,red
4N8QS,B6HM5,red,blue
N22A0,QIOXN,green,green
B5S64,WUGEM,green,red
Z4WZE,Q46S2,red,red
PYHV8,U8OEF,blue,red
FJK8C,4N8QS,blue,blue
8EYU2,W4ATV,red,blue
EOH2G,CRV51,green,blue
1VQ20,2NEKH,red,green
LC4JU,OWGFI,green,blue
LOMFP,TU2AE,blue,blue
4D319,UK769,red,green
GV8U2,R1JH5,green,green
YKLD6,89PG4,blue,red
NW9MK,WJ6CR,blue,green
6SACK,1TZFX,red,green
CXGE8,PCDJ2,red,blue
I6V0A,Y6XM9,red,blue
8312J,EX6D7,red,green
9DY3I,M4PY7,green,blue
8B09U,14BWK,green,red
T9ECC,JLMZR,blue,green
T0BO1,IBEPX,blue,blue
JVMPP,X43SQ,green,green
HIXT3,DOVTG,green,blue
2ZV6W,O7EYM,blue,blue
EKI8S,8NJCH,red,red
CLE4I,H6XY1,red,green
Z4WZE,DJLXF,blue,red
4SO3V,SJ4F5,green,blue
GUFW9,AK6M7,red,red
HUYSR,XVE9I,green,green
J95J5,M9228,blue,green
UCV8I,1VQ20,red,blue
HCITG,I3JPM,green,green
9GG22,CBQ0W,red,green
NYN5I,8BPSN,green,red
DK7CC,5F4TY,green,green
HFI1S,NM9F5,green,green
DZ1NO,BMSRG,red,red
LC4JU,YK10O,red,green
JLMZR,3XK89,blue,green
WD7E6,ZHKVE,blue,red
SJ4F5,1J9YF,green,green
BHABZ,TF7B3,green,blue
UPDB4,OZUXL,green,blue
CIAV6,2ETET,red,green
IWP8R,6X6QR,blue,red
VZS3Q,UBGGP,green,blue
NYM29,ZTSQY,red,red
2CZZ6,63TIL,blue,green
SRQ66,BCOBZ,green,blue
DZ1NO,U8MTM,red,green
M8F0T,8XKBN,blue,blue
AGOZZ,F5AJO,green,green
5F4TY,XS4CF,green,red
IA9NO,WUGEM,blue,red
HFI1S,KPSJG,blue,green
MA86Q,3RJ6U,blue,red
HCS0S,2UGYZ,red,red
0ZU6L,DO6YF,blue,blue
6JX21,1U9HK,green,green
G1BAN,GPNCP,green,red
65H0H,U8DQB,red,green
MNBK5,SCPD1,red,red
0N84X,6ALQ8,blue,red
OY1UK,MC8Y5,blue,red
RZCIK,65H0H,blue,red
24WWE,IIPOU,red,green
1NN46,NR93Z,green,blue
WNE53,356NS,blue,red
Y7WP0,SR4CW,blue,red
9Q8T3,W4ATV,red,green
BIV6N,GL1FX,green,blue
EFL8F,IBEPX,green,red
EM1SW,DWSJP,blue,blue
0PQCE,YCLMK,red,red
7Y6QP,24WWE,green,green
5MWPM,WGRB5,red,blue
4RS41,NTPZC,blue,blue
JOBTU,ZV1X2,blue,blue
S5Q6V,WFRM0,green,green
4VKA8,0ETWX,green,red
NECSE,LHLWN,green,red
3DHX9,D0OHH,blue,red
B3SXM,B6T28,green,red
U2P5F,5KRDT,green,green
57OW5,I3UOU,blue,green
1JXO7,YN466,blue,green
IWUTO,T9RTB,blue,blue
EM6X2,VCLW9,blue,blue
USPVZ,OJ50M,green,green
G89V5,UI19F,red,green
V05JZ,C534Z,red,red
HRRC3,59R0M,green,red
63TIL,IOSYM,red,green
5OFQ8,ZZQOZ,blue,red
ETZU0,EQH49,blue,green
EA5EV,VWAFG,green,red
7YGZC,KQA4E,red,red
YWQBI,RVIYT,red,green
Y4ARZ,NHSFA,red,blue
IWP8R,WMQ5G,blue,blue
IRTGL,2UGYZ,red,green
L0OVN,LX8YS,blue,blue
F989P,2WIVF,green,green
7KPBM,4J799,blue,green
4P4M4,XHQ7J,green,blue
1JXO7,79EN1,blue,green
497HN,CLK79,green,red
CHFTC,LARYM,blue,green
B4IF8,D50EY,green,blue
E0I9F,CABJT,red,red
JLMZR,D6NP6,blue,blue
8TQ7L,XHQ7J,red,green
IA9NO,EBE8N,blue,green
3RJ6U,LW081,blue,green
58MXZ,94CZM,green,red
KUVKE,47328,blue,blue
ICEVN,NA0OJ,blue,blue
MC8Y5,MNBK5,blue,red
K4E7D,0PQ1V,blue,red
UHZ81,TUB95,red,red
8NQAS,RXY8J,green,blue
1TPG3,NZI2D,blue,blue
0ZU6L,9JODI,blue,red
QKAYH,2GBYA,red,red
NYM29,PA5OG,blue,green
2HDJA,BMSRG,green,blue
UUQ5V,K4WSY,red,red
6HNIK,2ETET,green,green
40LDN,QMZ0E,green,blue
F7FTL,D50SO,green,red
RK67T,Y6XM9,blue,green
DDX2W,DIZBA,blue,green
EZP7K,9GLJN,red,blue
A3MKK,W5Z7J,green,red
50IBQ,ACEBZ,blue,blue
SJSTG,6XE5S,blue,blue
6WC6X,CUBF4,red,green
QCMCD,SJ4F5,red,green
YKLD6,G8HQG,green,green
1I6FP,ZLXNY,red,green
QMKRO,2UGYZ,blue,blue
NLE82,VWO99,green,green
Q55UQ,0ETWX,red,green
SDUCZ,51FCS,red,green
NECSE,WEP3W,green,blue
S30AR,2PH58,red,green
R0YP2,U4U00,red,red
ICEVN,14BWK,green,blue
XHIY2,LOMFP,blue,green
0B8RB,CABJT,red,red
3H4QS,AU606,green,red
NR93Z,IRTGL,red,blue
BHABZ,GUFW9,red,blue
M4PY7,6D5BN,green,blue
8TQMV,E7DB8,blue,blue
VQQJZ,8312J,blue,green
NLUIU,TVCVK,green,green
R0YP2,NHSFA,blue,green
JSCUG,9RC2Y,blue,green
0BE3Q,RERMN,red,green
5BG87,HAQRL,blue,red
7WJYZ,Z9VY0,red,green
VGCBK,6X0IF,red,red
1VQ20,UM75W,red,blue
V4ZBV,JBLZD,red,blue
BNTMC,QK1KY,green,green
9Q8T3,GDH3B,red,red
EMQYG,B2N0W,red,green
421TT,KUVKE,red,blue
X43SQ,EOH2G,red,blue
JBYFQ,6WC6X,blue,green
BZT0S,6DPQU,green,red
81Y5B,5R9W8,red,red
JBYFQ,TKJUR,red,green
OQQCJ,H7INM,red,red
IN38O,P38VP,blue,red
ULYCS,SSTYS,blue,green
7GMMP,OF1N6,red,red
IRTGL,F834S,blue,red
JZF3M,EKI8S,red,red
G2VZ2,FMJIU,blue,red
2CZZ6,W4ATV,green,blue
9WBUE,6PQRL,green,blue
6F92J,NHSFA,green,green
G3BPC,AEJPJ,red,red
6L9KH,1CZ0U,green,red
C534Z,ZLDES,blue,green
IPVRT,5VBDJ,green,blue
1JFAT,CI7JY,red,green
RJMT7,RVF8H,blue,green
CDOS5,V05JZ,blue,red
RMS3X,SRQ66,blue,blue
PYI28,1D0DP,blue,green
L9KTE,YJNQ7,red,green
6X0IF,CIAV6,green,red
YN466,TPDPS,green,red
QIG7I,95261,red,green
1KVGA,FLE9Q,red,blue
VZS3Q,ZY7M8,red,green
O90GF,LY9E1,green,red
MHUJK,HFZ09,green,green
1I6FP,UM75W,red,green
LOMFP,HSOOO,green,red
M4PY7,1J5IR,green,blue
CZOL9,57OW5,red,red
SAZIF,B1Q6K,green,red
KTYQL,FFRQC,blue,red
Y6W0H,Z9ATV,red,green
DOE2U,UK2C1,red,green
GBBE4,5B9WH,green,green
RLNSC,QULXT,green,red
MT023,240D9,green,red
19IZN,2594I,red,green
P5YE1,NY1XK,blue,red
5AP0L,8TWXR,red,red
HFZ09,HYJP3,red,red
ZTSQY,RZGG2,red,green
AYH5F,47328,blue,red
CS5BZ,8B1MM,red,green
M9228,G3BPC,red,red
X4PN1,R7M6P,blue,blue
IRTGL,9WBUE,red,blue
SAZIF,D81WE,red,blue
MWWIZ,58MXZ,blue,blue
RXPHO,SXGHY,red,green
Z8XKE,P5MKY,blue,blue
94CZM,5LDPF,blue,green
GK2R7,QJ3J3,blue,green
HRRC3,PQUYZ,green,blue
GD0PN,U269Y,green,green
024RU,T0TS3,red,green
XVE9I,HAQRL,green,red
EX6D7,A09IX,green,red
AK6M7,OY1UK,green,blue
Q50LR,X4LY7,red,blue
QQB30,BDDE6,green,red
M9228,EQH49,blue,blue
6PQRL,8TQ7L,blue,blue
8T9DT,MHUJK,blue,green
JGR33,Y4KI8,blue,blue
MYFU1,58LAT,blue,green
L95CH,MNBK5,green,red
58LAT,BNT5L,green,red
QRVCZ,8T9DT,green,blue
3H5IP,A3MKK,blue,blue
Y5NSE,Y95IF,blue,red
AU606,6XWDH,red,blue
IPLBI,2HDJA,red,green
053M8,2U0U8,green,blue
0MUJX,GC5Y2,blue,red
UCFUW,8R4HC,blue,blue
I3JPM,2TFGW,green,red
F83IQ,HFI1S,blue,blue
TZXWR,4FRD4,blue,green
CXGE8,NW9MK,red,red
T5YAR,1B3X5,red,green
0H2EG,25I5U,green,red
DANSD,94CZM,blue,red
RVF8H,8NQAS,green,red
RIC0E,VCLW9,blue,green
2ZIYM,KDLRJ,red,blue
ADLTN,8AUBU,red,green
Y6E8U,B5S64,blue,red
QZ8WS,NA0OJ,red,blue
SJ4F5,6BEXO,blue,blue
U3VP9,B1Q6K,red,blue
ACEBZ,3FABK,red,green
LD5WR,5MWPM,blue,blue
EM6X2,6RC7E,green,red
GXBYM,9RYVL,green,blue
Z8XKE,UABTE,red,red
QMZ0E,V9KW7,blue,green
6SACK,3H5PG,blue,red
1I6FP,ZHKVE,blue,green
6JZAR,BNTMC,blue,green
P6UWK,XHIY2,blue,red
XP6I4,JWFAE,blue,blue
1BG8G,GD0PN,green,red
ECZFS,GHLUB,red,red
3EJX4,4QZJB,red,blue
2ZIYM,RXY8J,red,red
1XVCU,5TC3H,blue,red
TUB95,P8UZ2,green,blue
HE01O,421TT,green,blue
VQMB8,HAXAZ,red,green
458OM,668M7,red,red
9D9SF,Z4WZE,green,blue
68IVQ,TUB95,red,green
D6NP6,EFL8F,red,red
H7INM,OEXHO,blue,green
MHUJK,U8OEF,blue,green
7BMH8,BX7HE,green,blue
IN38O,57OW5,red,red
9UYBE,BX7HE,green,green
1CZ0U,O90GF,red,green
GC5Y2,IG1YA,blue,green
IPVRT,ZR6FE,green,red
RIC0E,IG1YA,red,red
6JZAR,U26CB,green,red
GWYS3,K4E7D,blue,green
XS4CF,R0YP2,blue,red
WXU50,HOYWL,green,green
5KRDT,HIXT3,green,green
YG72D,Z8XKE,red,blue
R1JH5,WJ6CR,green,red
012KO,U26CB,green,blue
MH9A6,VQQJZ,green,green
ZXZK2,1TZFX,blue,blue
BDE5C,DZ1NO,red,green
H35NM,UEQIR,green,blue
QCMCD,5KRDT,green,red
ETZU0,LHLWN,blue,green
R1JH5,XGDU6,green,green
RNA90,I6V0A,red,red
7FY0V,WJSFU,green,blue
PYHV8,UK769,green,blue
O4RP1,8TQ7L,blue,green
LBVHO,U269Y,red,red
4F8J5,OQQCJ,red,blue
0OW1H,NECSE,red,green
Z9ATV,0N84X,green,blue
2VHC2,AL938,red,red
QZ8WS,WLWN0,red,green
CZOL9,3BKOB,red,red
869QV,95DY7,green,blue
QBZ6M,WL8G1,blue,blue
6X6QR,OJ50M,red,green
UK769,Z4WZE,red,red
GYJWK,JQ31B,red,green
N22QM,Z9VY0,blue,red
JQ31B,CZOL9,blue,red
1XDT0,YMHCY,red,red
6DPQU,VCLW9,green,blue
EMQYG,C0A83,blue,green
LYPHQ,P5MKY,green,red
VWO99,GTEKY,red,red
XX1OL,1KVGA,green,blue
5BG87,VZ9K4,red,blue
23NKK,BCOBZ,green,green
1LZXI,ZDMBU,blue,green
7LFRV,HYJP3,green,red
QCMCD,TJVG2,red,red
A3MKK,9Q8T3,red,blue
RILWN,Y5NSE,blue,green
12KJ3,0B8RB,green,red
UUQ5V,40LDN,blue,blue
F0G9L,G8HQG,blue,red
DNOE1,CM9IK,green,red
ROGON,22W7D,green,blue
G7SJA,MRQ26,red,green
ORM7Z,65H0H,green,blue
29T7Z,PW7P4,green,red
GBBE4,PUDE6,blue,red
VIIYS,HE01O,blue,green
TXXHK,5Q3W0,blue,red
OZUXL,KVKJG,red,red
9GG22,CUBF4,blue,red
PYHV8,TVP5I,red,green
PZ2PW,W5Z7J,green,red
B6HM5,0E346,red,blue
C0A83,VWAFG,blue,blue
ZLDES,VZ9K4,red,blue
AGOZZ,IP13G,green,green
7L4N7,RXY8J,red,green
JBYFQ,6M0W3,red,blue
D50SO,NCPB6,blue,red
ZK44L,6XE5S,green,red
Y6W0H,21L0W,green,blue
MHUJK,SO28D,red,red
8VD6X,XWPUP,red,blue
WH0HQ,LQU1E,green,blue
IZWDJ,UCFUW,green,red
USKRX,NX6IS,red,green
ORM7Z,ACD94,green,green
MC8Y5,U81KC,green,blue
Q6YHQ,8ALZW,red,red
FA765,9DY3I,green,blue
4VKA8,TJVG2,blue,blue
Q06GD,7WJYZ,blue,blue
7GMMP,PPQU2,red,red
CBAN8,BUHTO,blue,blue
1B3X5,0RD2P,red,red
R1JH5,0J8TC,green,red
59R0M,307TC,green,blue
8BPSN,1CZ0U,red,blue
FOVLW,3DHX9,green,blue
47PML,LW3QV,green,blue
K7XEQ,Y6E8U,blue,green
7L4N7,FFML4,blue,green
GL1FX,JBLZD,green,red
F46WG,PRNM9,red,green
IPVRT,V0VS2,green,green
EMQYG,TXXHK,red,blue
OWGFI,RMS3X,blue,red
ILLL9,MT2P6,red,red
KTYE7,7386C,blue,green
F0G9L,W4MRN,green,red
8AUBU,869QV,blue,green
SRQ66,22XG5,green,green
GPNCP,Q46S2,red,green
7GMMP,OV6Q4,red,red
8RLVC,CZBX1,red,blue
NW37L,FJK8C,green,blue
VSLS8,GYJWK,blue,green
TNWAH,P99SW,red,green
PTBST,5F4TY,green,red
UVFL8,EM6X2,green,blue
WEP3W,UI5AL,red,red
GIJFB,MT2P6,blue,green
RMS3X,421TT,green,blue
1TPG3,1JXO7,red,green
1NN46,W5Z7J,blue,green
U3VP9,QJ3J3,blue,blue
4BHC6,69023,blue,blue
NX9EW,IA9NO,blue,blue
MPJC9,SJ4F5,green,blue
QPOVG,O2SV0,green,red
9RYVL,8B09U,green,green
8T9DT,JWEJC,red,blue
8TQMV,RN6YE,green,green
B3SXM,OYJ9Q,red,blue
USPVZ,TUB95,blue,red
37PGM,VQQJZ,blue,red
ZV1X2,K9FQP,blue,blue
N22QM,WUGEM,green,red
L0OVN,QRVCZ,green,blue
6X3TF,HCITG,green,red
EM1SW,CDOS5,red,red
7BMH8,H2BUK,red,red
JWEJC,NYN5I,blue,red
94CZM,VXSGC,green,blue
UABTE,C8Z0Z,green,blue
NX9EW,PRNM9,red,blue
HE01O,DJ47M,red,blue
MYFU1,JBYFQ,green,blue
RXPHO,T7TKS,red,green
IBEPX,RZ81Y,green,red
5TC3H,G3BPC,green,green
8TQMV,HI6UQ,green,red
Y6XM9,1XVCU,blue,red
QMZ0E,19IZN,green,red
RNA90,V9KW7,red,blue
MF28A,RILWN,red,blue
QL9EH,CBAN8,green,red
L0GUU,AJUOX,red,red
JLLBD,GK2R7,green,red
24WWE,NHSFA,blue,blue
QRT9A,UCV8I,red,red
JOBTU,RZCIK,green,blue
57OW5,8S0Y5,blue,green
XW119,XAOUW,red,blue
VQQJZ,CI7JY,blue,blue
JSCUG,1ZK9D,blue,red
QHDLK,J7FBX,blue,red
053M8,0JK41,red,green
8P5QY,487C7,green,blue
T6CJX,HFI1S,green,green
SSTYS,PCDJ2,green,blue
0PQ1V,NW37L,blue,red
24WWE,DK7CC,green,blue
JWFAE,P5MKY,green,green
TSWLN,IOSYM,red,blue
B1Q6K,8NJCH,red,red
487C7,GYJWK,blue,red
BIV6N,8ALZW,green,green
YMHCY,9GLJN,green,green
B38DB,MA86Q,green,red
OXZY3,487C7,blue,blue
31ETL,24WWE,red,blue
M4PY7,XS4CF,red,red
U9MYY,HI6UQ,green,blue
A9D59,R5OSH,blue,green
XAOUW,2GND7,blue,green
V05JZ,RTH2Y,green,blue
2WIVF,MHUJK,blue,green
TPDPS,HI6UQ,green,red
ZR6FE,GF6KO,blue,blue
P8UZ2,7GMMP,red,red
SRQ66,8S0Y5,red,red
U4U00,0PQCE,blue,red
MT023,BZT0S,red,red
6M0W3,NHSFA,green,blue
UD42W,CLE4I,red,green
29T7Z,93OKD,red,blue
B6T28,FMJIU,blue,red
2HDJA,LQXMH,red,green
7EESK,GD0PN,blue,green
JQ31B,79EN1,green,red
2WIVF,QRVCZ,green,blue
2WTFL,ZY7M8,blue,blue
VIIYS,S7U4A,blue,green
H6XY1,65DNU,green,green
7386C,EBAKR,red,red
8VD6X,APVFH,blue,red
RZUKL,UUQ5V,red,green
QK1KY,WUGEM,red,blue
ZXZK2,IRTGL,green,red
D0OHH,A0ZLT,green,red
PYHV8,2594I,green,red
ECZFS,4Q9LK,red,red
RZGG2,LY9E1,green,green
2CL3G,U8MTM,green,red
0E346,Z5ONJ,blue,blue
X4VHI,YK10O,blue,blue
LY9E1,MJHHB,red,green
HR6IT,B3SXM,green,blue
1KVGA,8SO5Z,red,red
6O3BA,ZXZK2,blue,green
EBSW0,51549,red,red
9YNW9,A8ZK0,red,blue
TNWAH,LP38C,red,blue
FF32X,FMJIU,blue,green
B6HM5,RTLTL,red,blue
IBEPX,Z8XKE,red,red
R5OSH,X6MNV,red,blue
RIC0E,G7SJA,blue,green
DOVTG,M8AMZ,green,blue
LY9E1,T6CJX,red,green
17GPA,HAXAZ,red,green
8TWXR,BY9PM,green,red
RXPHO,T35D2,green,red
UO2GJ,J1DJT,blue,red
8S0Y5,RJMT7,green,blue
KVKJG,XX1OL,red,red
IA9NO,6HNIK,green,red
MKTV8,I7JCV,blue,red
ZDMBU,TF7B3,red,blue
1XVCU,Y6XM9,red,green
G7SJA,CABJT,red,blue
NL4QH,TU2AE,green,green
YKLD6,JOBTU,green,blue
G2VZ2,12KJ3,green,green
LOMFP,UQ9FE,blue,red
T9ALU,XJ8GV,green,red
8DU5O,EK1O1,blue,red
A09IX,8AUBU,red,green
FMJIU,ZUH32,green,green
J95J5,MQAVN,green,red
I9LIN,M8F0T,red,red
SXGHY,GSOWC,blue,blue
3V26S,J2LJA,blue,green
ZLDES,FJNO4,green,blue
497HN,0NNHS,green,red
MBTVY,WUGEM,green,green
AL938,G1BAN,green,blue
1J9YF,QIG7I,red,green
M9228,ZLDES,green,red
G2VZ2,UI5AL,blue,green
OEXHO,024RU,blue,green
ICEVN,W4ATV,red,green
BDE5C,7LHW8,green,green
1KW1S,U2P5F,blue,green
1E8CL,FGQ8J,green,green
DJ32E,LEA39,green,green
QZ8WS,1J5IR,red,green
I3JPM,QB3US,red,blue
3800R,0VLNR,red,green
SBAA4,JZF3M,green,red
NM9F5,UD42W,red,red
UM75W,GIJFB,blue,blue
GL1FX,B3CQ5,green,green
LQQWJ,B38DB,green,green
E0I9F,MPJC9,red,red
CLK79,GK2R7,blue,green
EBAKR,SHRY2,blue,green
2VHC2,BUHTO,red,green
LDU7F,Y4KI8,red,blue
8VD6X,5KQEJ,red,green
JQ31B,7HQPC,red,red
QPOVG,79EN1,green,green
B4IF8,Y6W0H,blue,red
GUHKN,R5OSH,red,blue
8A4NB,NJD6X,green,blue
CI7JY,SOYLH,red,red
J95J5,4Q9LK,blue,blue
YNALB,IPVRT,red,red
CX19V,6M0W3,green,red
I7JS7,EE54R,green,blue
RZCIK,DWSJP,red,blue
RJMT7,B66MU,blue,blue
TZ4GS,1ZK9D,blue,green
6HNIK,BNT5L,red,red
HFI1S,307TC,red,blue
89PG4,ZY7M8,green,blue
21L0W,QRT9A,red,red
FXF1Z,T9ALU,green,green
9RYVL,XHIY2,blue,green
IWP8R,NLUIU,green,blue
IGQLA,DW5MJ,green,blue
HQ764,77EKN,green,blue
6SACK,KVKJG,red,red
A9D59,8DEPA,blue,green
QTKFO,DQF3Y,red,green
B6HM5,B3SXM,red,blue
M5D88,IYJRB,red,red
OF1N6,59R0M,green,red
DK7CC,29BMZ,green,green
OEXHO,A3MKK,red,green
MT2P6,TK9MZ,green,red
B6T28,9K7IK,blue,red
IL210,SO28D,blue,red
F7FTL,APVFH,green,red
IBEPX,2CZZ6,green,green
CT6Y6,7XHXX,green,green
TNNNC,8IC4M,red,red
1CZ0U,ZJB2A,green,green
IP13G,7KPBM,red,red
XGDU6,DK7CC,red,blue
O2TIT,S30AR,blue,blue
261PO,7KPBM,red,green
I9LIN,O7EYM,blue,blue
2WIVF,VSLS8,blue,green
U2R3W,P38VP,green,blue
8BPSN,RZZF2,red,green
QIOXN,AON59,blue,green
WM6RC,EOH2G,blue,green
HOYWL,5C1R9,red,red
DOVTG,VFLPK,green,green
1BG8G,9DY3I,blue,blue
2ZIYM,ZJB2A,blue,blue
25M6W,MHUJK,red,red
JGR33,DJLXF,blue,red
R0YP2,REH01,green,green
GUFW9,JUQPG,red,blue
MBJ73,307TC,red,red
LQQWJ,GXBGA,blue,green
8VD6X,8BPSN,green,green
NA0OJ,XHQ7J,green,red
EMQYG,7Y6QP,red,green
7I6QF,8NQAS,blue,green
1LZXI,VSLS8,green,green
WM6RC,0NGPG,blue,red
C8Z0Z,AGOZZ,green,red
APVFH,NYN5I,blue,blue
SRQ66,JWEJC,green,green
2OKRA,TVCVK,red,green
6WC6X,U9MYY,blue,red
NL4QH,DIZBA,green,green
VSLS8,7FY0V,green,green
1J5IR,I0822,green,red
3BKOB,487C7,blue,green
CZOL9,ZK44L,blue,blue
MHUJK,95TRY,green,red
B6T28,ZZQOZ,red,green
1TPG3,KYYP4,green,blue
CBAN8,HN3EH,red,green
B2N0W,IWUTO,red,green
P99SW,Z5ONJ,blue,red
2WIVF,885V2,blue,green
F0G9L,7LFRV,red,green
SOYLH,I3UOU,red,blue
BY9PM,EITEV,green,green
XW119,22W7D,green,red
435S1,8BPSN,green,blue
5B9WH,0MUJX,blue,green
O4RP1,VIIYS,blue,green
RK67T,UTTFN,red,red
GV8U2,OXZY3,green,green
2UGYZ,EMQYG,blue,blue
Q06GD,7KPBM,blue,red
XVE9I,BHXS4,red,blue
EKI8S,TUB95,blue,blue
7Y6QP,USPVZ,red,blue
KVKJP,KUVKE,blue,red
DNQZA,RZCIK,green,red
TJVG2,LOGFW,green,green
08Y3M,LQXMH,green,red
QBZ6M,22W7D,blue,green
8TQ7L,ILLL9,red,blue
69023,FMJIU,green,red
5Y3JS,40LDN,green,red
RXY8J,JR9PX,red,green
3FABK,E3VR0,blue,green
X6MNV,DOE2U,green,blue
AON59,AU606,blue,green
U2O9D,EBSW0,red,blue
QULXT,DIZBA,blue,green
668M7,3IG71,red,blue
WGRB5,CIQ3Z,blue,red
J9DCM,EQH49,green,blue
SJSTG,NX9EW,blue,blue
CXGE8,9YNW9,red,green
UABTE,I2K5M,red,red
WGRB5,70S7I,red,blue
EZP7K,95DY7,blue,blue
QB3US,UXOQ4,red,blue
XGDU6,EKI8S,green,red
VQMB8,5F4TY,blue,green
F989P,GD0PN,blue,blue
